dlga_award_fief_to_vassal:award_fief_to_vassal_defer|I wish to defer the appointment of a lord, until I take the counsel of my subjects
dlga_village_elder_ask_set_fire_5:village_elder_ask_set_fire_6.1|Then let's increase your reward to 300 denars. This is my last offer.
dlga_village_elder_ask_set_fire_5:close_window|Never mind.
dlga_village_elder_ask_set_fire_6:village_elder_ask_set_fire_9|Very well. You are asking me to take a very great risk, but I will do it. When do you want this fire to start?
dlga_village_elder_ask_set_fire_7:village_elder_talk|I cannot do such a dangerous thing for 200 denars.
dlga_village_elder_ask_set_fire_9:village_elder_ask_set_fire_10|Continue with your preparations. One hour from now, I need that fire.
dlga_village_elder_ask_set_fire_9:village_elder_ask_set_fire_11|Do this in at the stroke of midnight. I will wait exactly one hour.
dlga_village_elder_ask_set_fire_10:close_window|Very well, {sir/my lady}. We will make our preparations. Now you make yours.
dlga_village_elder_ask_set_fire_11:close_window|As you wish, {sir/my lady}. May the heavens protect you.
dlga_village_elder_talk:village_elder_recruit_start|Are there any lads from this village who might want to seek their fortune in the wars?
dlga_village_elder_talk:close_window|[Leave]
dlga_village_elder_buy_cattle:village_elder_buy_cattle_2|We have {reg5} heads of cattle, each for {reg6} denars. How many do you want to buy?
dlga_village_elder_buy_cattle:village_elder_buy_cattle_2.1|I am afraid we have no cattle left in the village {sir/madam}.
dlga_village_elder_buy_cattle_2:village_elder_buy_cattle_complete|One.
dlga_village_elder_buy_cattle_2:village_elder_buy_cattle_complete.1|Two.
dlga_village_elder_buy_cattle_2:village_elder_buy_cattle_complete.2|Three.
dlga_village_elder_buy_cattle_2:village_elder_buy_cattle_complete.3|Four.
dlga_village_elder_buy_cattle_2:village_elder_buy_cattle_complete.4|Five.
dlga_village_elder_buy_cattle_2:village_elder_pretalk|Forget it.
dlga_village_elder_buy_cattle_complete:village_elder_pretalk|I will tell the herders to round up the animals and bring them to you, {sir/madam}. I am sure you will be satisfied with your purchase.
dlga_village_elder_recruit_start:village_elder_talk|I don't think anyone would be interested, {sir/madam}. Is there anything else I can do for you?
dlga_village_elder_recruit_start:village_elder_recruit_decision|I can think of {reg5} whom I suspect would jump at the chance. If you could pay 10 denars {reg7?each for their equipment:for his equipment}. Does that suit you?
dlga_village_elder_recruit_decision:village_elder_pretalk|Tell {reg7?them:him} to make ready.
dlga_village_elder_recruit_decision:village_elder_pretalk.1|No, not now.
dlga_village_elder_active_mission_1:village_elder_active_mission_2|Yes {sir/madam}, have you made any progress on it?
dlga_village_elder_active_mission_2:village_elder_deliver_grain_thank|Indeed. I brought you {reg5} packs of grain.
dlga_village_elder_deliver_grain_thank:village_elder_deliver_grain_thank_2|My good {lord/lady}. You have saved us from hunger and desperation. We cannot thank you enough, but you'll always be in our prayers. The village of {s13} will not forget what you have done for us.
dlga_village_elder_deliver_grain_thank_2:village_elder_talk|My good {lord/lady}, please, is there anything I can do for you?
dlga_village_elder_active_mission_2:village_elder_active_mission_3|I am still working on it.
dlga_village_elder_active_mission_2:village_elder_mission_failed|I am afraid I won't be able to finish it.
dlga_village_elder_active_mission_3:village_elder_pretalk|Thank you, {sir/madam}. We are praying for your success everyday.
dlga_village_elder_mission_failed:village_elder_pretalk|Ah, I am sorry to hear that {sir/madam}. I'll try to think of something else.
dlga_village_elder_request_mission_ask:village_elder_pretalk|Well {sir/madam}, you are already engaged with a task helping us. We cannot ask more from you.
dlga_village_elder_request_mission_ask:village_elder_pretalk.1|No {sir/madam}, We don't have any other tasks for you.
dlga_village_elder_request_mission_ask:village_elder_tell_mission|A task?
dlga_village_elder_tell_mission:village_elder_tell_deliver_grain_mission|{My good sir/My good lady}, our village has been going through such hardships lately. The harvest has been bad, and recently some merciless bandits took away our seed grain that we had reserved for the planting season. If we cannot find some grain soon, we will not be able to plant our fields and then we will have nothing to eat for the coming year. If you can help us, we would be indebted to you forever.
dlga_village_elder_tell_deliver_grain_mission:village_elder_tell_deliver_grain_mission_2|Hmmm. How much grain do you need?
dlga_village_elder_tell_deliver_grain_mission:village_elder_deliver_grain_mission_reject|I can't be bothered with this. Ask help from someone else.
dlga_village_elder_tell_deliver_grain_mission_2:village_elder_tell_deliver_grain_mission_3|I think {reg5} packs of grain will let us start the planting. Hopefully, we can find charitable people to help us with the rest.
dlga_village_elder_tell_deliver_grain_mission_3:village_elder_deliver_grain_mission_accept|Then I will go and find you the grain you need.
dlga_village_elder_tell_deliver_grain_mission_3:village_elder_deliver_grain_mission_reject|I am afraid I don't have time for this. You'll need to find help elsewhere.
dlga_village_elder_deliver_grain_mission_accept:close_window|Thank you, {sir/madam}. We'll be praying for you night and day.
dlga_village_elder_deliver_grain_mission_reject:close_window|Yes {sir/madam}, of course. I am sorry if I have bothered you with our troubles.
dlga_village_elder_tell_mission:village_elder_tell_train_peasants_against_bandits_mission|We are suffering greatly at the hands of a group of bandits. They take our food and livestock, and kill anyone who doesn't obey them immediately. Our men are angry that we cannot defend ourselves, but we are only simple farmers... However, with some help, I think that some of the people here could be more than that. We just need an experienced warrior to teach us how to fight.
dlga_village_elder_tell_train_peasants_against_bandits_mission:village_elder_train_peasants_against_bandits_mission_accept|I can teach you how to defend yourself.
dlga_village_elder_tell_train_peasants_against_bandits_mission:village_elder_train_peasants_against_bandits_mission_reject|You peasants have no business taking up arms. Just pay the bandits and be off with it.
dlga_village_elder_train_peasants_against_bandits_mission_accept:close_window|You will? Oh, splendid! We would be deeply indebted to you, {sir/madam}. I'll instruct the village folk to assemble here and receive your training. If you can teach us how to defend ourselves, I promise you'll receive everything we can give you in return for your efforts.
dlga_village_elder_train_peasants_against_bandits_mission_reject:close_window|Yes, of course {sir/madam}. Thank you for your counsel.
dlga_village_elder_tell_mission:village_elder_tell_deliver_cattle_mission|Bandits have driven away our cattle. Our pastures are empty. If we had just a few heads of cattle we could start to raise a herd again.
dlga_village_elder_tell_deliver_cattle_mission:village_elder_tell_deliver_cattle_mission_2|How many animals do you need?
dlga_village_elder_tell_deliver_cattle_mission:village_elder_deliver_cattle_mission_reject|I don't have time for this. Ask help from someone else.
dlga_village_elder_tell_deliver_cattle_mission_2:village_elder_tell_deliver_cattle_mission_3|I think {reg5} heads will suffice for a small herd.
dlga_village_elder_tell_deliver_cattle_mission_3:village_elder_deliver_cattle_mission_accept|Then I will bring you the cattle you need.
dlga_village_elder_tell_deliver_cattle_mission_3:village_elder_deliver_cattle_mission_reject|I am afraid I don't have time for this. You'll need to find help elsewhere.
dlga_village_elder_deliver_cattle_mission_accept:close_window|Thank you, {sir/madam}. We'll be praying for you night and day.
dlga_village_elder_deliver_cattle_mission_reject:close_window|Yes {sir/madam}, of course. I am sorry if I have bothered you with our troubles.
dlga_village_elder_tell_mission:village_elder_pretalk|Thank you, {sir/madam}, but we do not really need anything right now.
dlga_start:goods_merchant_talk|{My lord/my lady}, you honour my humble shop with your presence.
dlga_start:goods_merchant_talk.1|Welcome {sir/madam}. What can I do for you?
dlga_goods_merchant_pretalk:goods_merchant_talk|Anything else?
dlga_goods_merchant_talk:goods_trade_requested|I want to buy a few items... and perhaps sell some.
dlga_goods_trade_requested:goods_trade_completed|Sure, sure... Here, have a look at my stock...
dlga_goods_trade_completed:goods_merchant_talk|Anything else?
dlga_goods_merchant_talk:trade_info_request|What goods should I buy here to trade with other towns?
dlga_goods_merchant_talk:close_window|Nothing. Thanks.
dlga_trade_info_request:trade_info_request_2|That information can be best obtained from caravan masters and travelling merchants. If you want I can send you to the district where foreign merchants stay at when they come to the town. If you spend some time there and listen to the talk, you can learn a lot about what to buy and where to sell it.
dlga_trade_info_request_2:close_window|Then I'll go and spend some time with these merchants.
